ID	name	synonyms
TWPEST_00659	dimefox	
TWPEST_00660	dimefuron	
TWPEST_00661	dimenoxypyrin	
TWPEST_00662	dimepiperate	
TWPEST_00663	dimepyrolimet	
TWPEST_00664	dimesulfazet	
TWPEST_00665	dimetachlone	
TWPEST_00666	dimetan	
TWPEST_00667	dimethacarb	
TWPEST_00668	dimethachlor	
TWPEST_00669	dimethametryn	
TWPEST_00670	dimethenamid	
TWPEST_00671	dimethenamid-P	
TWPEST_00672	dimethipin	
TWPEST_00673	dimethirimol	
TWPEST_00674	dimethoate	
TWPEST_00675	dimethomorph	
TWPEST_00676	dimethrin	
TWPEST_00677	dimethyl carbate	
TWPEST_00678	dimethyl phthalate	
TWPEST_00679	dimetilan	
TWPEST_00680	dimexano	
TWPEST_00681	dimidazon	
TWPEST_00682	dimoxystrobin	
TWPEST_00683	dimpropyridaz	
TWPEST_00684	dimpyrargyl	
TWPEST_00685	dinex	
TWPEST_00686	dingjunezuo	
TWPEST_00687	diniconazole	
TWPEST_00688	diniconazole-M	R-diniconazole;R-diniconazole
TWPEST_00689	dinitramine	
TWPEST_00690	dinitrophenols	
TWPEST_00691	dinobuton	
TWPEST_00692	dinocap	
TWPEST_00693	dinocap-4	
TWPEST_00694	dinocap-6	
TWPEST_00695	dinocton	
TWPEST_00696	dinofenate	
TWPEST_00697	dinopenton	
TWPEST_00698	dinoprop	
TWPEST_00699	dinosam	
TWPEST_00700	dinoseb	
TWPEST_00701	dinosulfon	
TWPEST_00702	dinotefuran	
TWPEST_00703	dinoterb	
TWPEST_00704	dinoterbon	
TWPEST_00705	diofenolan	
TWPEST_00706	dioxabenzofos	
TWPEST_00707	dioxacarb	
TWPEST_00708	dioxopyritrione	
TWPEST_00709	diphacin	diphacinone;diphenadione
TWPEST_00710	diphenamid	
TWPEST_00711	diphenyl sulfone	
TWPEST_00712	diphenyl sulphide	tetradisul;tetrasul
TWPEST_00713	diphenylamine	
TWPEST_00714	dipropalin	
TWPEST_00715	dipropetryn	
TWPEST_00716	dipymetitrone	
TWPEST_00717	dipyrithione	
TWPEST_00718	disparlure	
TWPEST_00719	disulfiram	
TWPEST_00720	disulfoton	M-74;ethylthiometon;thiodemeton
TWPEST_00721	ditalimfos	
TWPEST_00722	dithianon	
TWPEST_00723	dithicrofos	
TWPEST_00724	dithiometon	M-81;thiometon
TWPEST_00725	dithiopyr	
TWPEST_00726	dithiuron	
TWPEST_00727	dixanthogen	
TWPEST_00728	dodemorph	
TWPEST_00729	dodicin	
TWPEST_00730	dofenapyn	
TWPEST_00731	dominicalure	
TWPEST_00732	doramectin	
TWPEST_00733	drazoxolon	
TWPEST_00734	dufulin	
TWPEST_00735	echlomezol	
TWPEST_00736	eglinazine	
TWPEST_00737	empenthrin	
TWPEST_00738	enadenine	2iP;6-isopentenyladenine;6-isopentenylaminopurine
TWPEST_00739	endothal	
TWPEST_00740	endothion	
TWPEST_00741	endrin	
TWPEST_00742	enestroburin	enoxastrobin;xiwojunzhi
TWPEST_00743	enprocymid	
TWPEST_00744	epocholeone	
TWPEST_00745	epofenonane	
TWPEST_00746	epoxiconazole	
TWPEST_00747	eprinomectin	
TWPEST_00748	epronaz	
TWPEST_00749	epsilon-metofluthrin	
TWPEST_00750	epsilon-momfluorothrin	
TWPEST_00751	epyrifenacil	
TWPEST_00752	erbon	
TWPEST_00753	erlujixiancaoan	
TWPEST_00754	erysichrona	
TWPEST_00755	esfenvalerate	
TWPEST_00756	esprocarb	
TWPEST_00757	etacelasil	
TWPEST_00758	etaconazole	
TWPEST_00759	etaphos	
TWPEST_00760	etem	
TWPEST_00761	ethaboxam	
TWPEST_00762	ethachlor	
TWPEST_00763	ethalfluralin	
TWPEST_00764	ethametsulfuron	
TWPEST_00765	ethaprochlor	
TWPEST_00766	ethidimuron	
TWPEST_00767	ethiofencarb	
TWPEST_00768	ethiolate	
TWPEST_00769	ethiozin	
